,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.49048051194557185,0.024564516299882783,0.3064794393753585,0.17430677689770313,0.24109068051513163,R
1,0.16747810773076338,0.5269380288956713,0.12882644466336632,0.0038979363845700154,0.0015799774431790763,R
2,0.44381150356118765,0.16629779899763508,0.23508689691228132,0.41830975602938186,0.5201760910367811,R
3,0.8756889295031764,0.45174289988535604,0.4565163058060653,0.6226158251618923,0.6153366223053183,M
4,0.36584034629019363,0.06827365133393985,0.45445552750235435,0.1910828442850775,0.507524267563376,R
5,0.7033971182332265,0.4565994643998832,0.5606551198656539,0.43311168685776874,0.8218685295813906,M
6,0.18462035104060048,0.51039939061122,0.16368856586384153,0.0066387055440735275,0.45908106182829655,R
7,0.07155905113381521,0.2800975125809236,0.0202747912575655,0.4315973959827943,0.5294110967486858,R
8,0.2915106312832911,0.17526237537996062,0.31661385387418306,0.008605969408037054,0.22411159783772613,R
9,0.4441545933680932,0.5154145734319766,0.4934272211714338,0.0271508376636232,0.4854014839225402,R
10,0.46660556038781137,0.4666510420051799,0.4595984499939468,0.4440465619978916,0.5490764550790538,R
11,0.8480984180193005,0.9579030323493016,0.5526218904603255,0.5850452989521916,0.6620226872165722,M
12,0.9844169789483428,0.8587153578328652,0.5649267875271456,0.6992980668108646,0.4621272838783365,M
13,0.3735041410032202,0.010722998627007365,0.23639358614801773,0.45412414133602325,0.5716585292021941,R
14,0.6160521189834617,0.967019370539203,0.891325867075078,0.893329791530174,0.4200546874730157,M
15,0.2483540333770768,0.2231826118947341,0.16914191085164576,0.1538623017922657,0.1373577776467559,R
16,0.9780337731121309,0.5416420886900701,0.9216733385183824,0.43196184319861486,0.9969289171657907,M
17,0.5193877817177857,0.5013600679822529,0.32637272443824034,0.3975246792297011,0.29626527832954447,R
18,0.212010294921289,0.30711384689970217,0.5140567149490112,0.4958808701880787,0.07233922258708805,R
19,0.7151279273794237,0.7149257660621109,0.8440330051996374,0.6955618959527985,0.5500964096408879,M
20,0.7650039725968798,0.5740611002053884,0.700079907094183,0.637415166601383,0.48893832394197584,M
21,0.47053926967508247,0.4406653488151725,0.34311972441179733,0.3432058947037976,0.5327412692177933,R
22,0.06234742382904922,0.00375700782646785,0.070350889064781,0.3273979580666617,0.3175835352049873,R
23,0.23277106884573912,0.3902128128293049,0.3568682239055538,0.11963870216885175,0.5101259693631586,R
24,0.6715564529674101,0.9113264373737214,0.5758611281129901,0.8138472020302507,0.5903093442076943,M
25,0.4089760522322351,0.17605593053888413,0.06346228343180901,0.5326070246186032,0.05125485143899719,R
26,0.2812729936677337,0.03501931135320866,0.1450112142880731,0.025045988699803668,0.005771049666030442,R
27,0.3896557657397343,0.5193494497711038,0.2930970243417679,0.28190490141737734,0.29186831259271123,R
28,0.5542196831885787,0.6553061048314912,0.5832914578754178,0.4901638759097782,0.9955101518184972,M
29,0.3444765870520082,0.49802881303373964,0.07496665653082998,0.37083425971312733,0.19249325066643977,R
30,0.5423849748720778,0.24376606202075923,0.3228644235159226,0.43019942175889836,0.432993276123787,R
31,0.7922379416770953,0.9636375725001214,0.8901220027607613,0.574408144984354,0.4530053102325898,M
32,0.6169275895162184,0.755249070914447,0.7356986867100094,0.5386751174975456,0.9811227223987551,M
33,0.27652947982381765,0.5053212851365528,0.4729590522167869,0.08012896384356549,0.5643477165623297,R
34,0.5847522647218748,0.8216699509061851,0.5860473926817531,0.8966667454510355,0.6109803807204772,M
35,0.5543720388433596,0.42508201658584355,0.12538129426717506,0.5288069292692079,0.08544265545297415,R
36,0.1128615361543817,0.40966137975222394,0.0023035440170949516,0.38779089220335367,0.1732649616870041,R
37,0.12834072105531039,0.316645283906226,0.42426781975064315,0.29327504134953736,0.05650774206332707,R
38,0.26233522580718205,0.05110410881032182,0.410762204849288,0.0606591124218181,0.5587788651876373,R
39,0.8208092557683935,0.9094200854963829,0.4226236145250168,0.7704662267145692,0.5864803953825061,M
40,0.5634962189884704,0.2809970616555322,0.3151104421540491,0.509195372558331,0.4911178303598525,R
41,0.4903289539913439,0.6564119068416646,0.7610263470715976,0.41917107954558375,0.4685177431615428,M
42,0.1019474586919317,0.20304471175074795,0.5344664780826671,0.3290382979986516,0.06458355658667916,R
43,0.05258643343495677,0.3518680089001321,0.3539685463577879,0.4334541320833374,0.3873580643362488,R
44,0.7809658561768782,0.7946767351244169,0.5131437162577341,0.44186343268356415,0.6826553794630728,M
45,0.5265204593534808,0.34543655409640545,0.5007755099414822,0.04727662247626288,0.10235643739431109,R
46,0.5322656163791016,0.7521521825753943,0.7821435104917915,0.9530104935261317,0.5894421355684358,M
47,0.13283929392648633,0.060925914238787016,0.5543414475489424,0.3501684053660921,0.14248438861344917,R
48,0.5113052028456576,0.6770239694357243,0.7260034499397701,0.9785056655722033,0.4830002936030939,M
49,0.71627545129229,0.9817707413215466,0.4493206672342324,0.8196974371021355,0.4356973211490428,M
50,0.4971762074791146,0.8345362137446344,0.5125200611256873,0.6859954959270845,0.6545059350411613,M
51,0.22890439479943256,0.022970933249568594,0.3850418776590634,0.43386050542332577,0.2946603860977569,R
52,0.3279019769525522,0.2852995990691661,0.4441363116795243,0.1976653334998424,0.0931675838908175,R
53,0.19873924954019279,0.37653417097780323,0.1392403256310558,0.0612191281166391,0.5505174124581061,R
54,0.29201710488364757,0.4545680686209266,0.062110446354881034,0.04789948301079511,0.1373969151218359,R
55,0.7269823697321113,0.7338980004692881,0.7228651564757007,0.8299799445500773,0.634234260017162,M
56,0.8056393347062536,0.6413151944546656,0.7016095942459637,0.5972850564661326,0.6369557978861654,M
