,null_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.3477385470728626,0.5489440039251855,0.4729430100105131,0.540644507294297,0.26898757599606093,R
1,0.33017397258237524,0.03866578681074791,0.18939349384828622,0.2724228145858419,0.021655975625309815,R
2,0.0950393105256765,0.20750971710037056,0.39841991733232146,0.06271331685893658,0.05582138986388583,R
3,0.8168181262752059,0.6733439159704813,0.6691308120932166,0.9088791681273335,0.5658855339021217,M
4,0.5146062234680078,0.744847624413213,0.4235647702186465,0.4133414555303339,0.6818870953620265,M
5,0.14882016891449001,0.4992662719356202,0.45511975713524144,0.37023557243826444,0.07806812139329411,R
6,0.36173137320677123,0.43716424941565923,0.1585705680708701,0.5563539494547864,0.4580139082026532,R
7,0.7461348873602104,0.6585541339407402,0.7754087914055896,0.8451091081986372,0.69169475941143,M
8,0.37141845362875675,0.3483096947771668,0.357507781207522,0.4846845534146642,0.48385210458624656,R
9,0.3624545882456862,0.3305626084713685,0.37159543619293306,0.10483675272127868,0.5328009078882647,R
10,0.2964397344120712,0.5160203140417244,0.31204124170017894,0.2360269948291934,0.2290360238010838,R
11,0.3611854218179138,0.47395767674500894,0.31183381333400284,0.09331153920018895,0.22354065306240395,R
12,0.2659721532190055,0.3316175111826782,0.2435853496504615,0.20322135989389223,0.06877204869736722,R
13,0.44118637147275513,0.8939064957632454,0.48544685222939266,0.5107642353715807,0.6462262755538437,M
14,0.27559611261583494,0.32032831415694396,0.16541792923144474,0.040185572169222666,0.5561836458439454,R
15,0.562036087640786,0.43910057557913046,0.5422291696715903,0.2762286111968571,0.08022933719417973,R
16,0.9337192743791631,0.6317651269198461,0.9366359470814529,0.47838689966258446,0.560538468751775,M
17,0.13783685938815518,0.24886190550528475,0.44307294987766427,0.3487776005836602,0.1748877645425107,R
18,0.5571241860219732,0.5207958142368204,0.7655314663593022,0.8250633406239434,0.7184974622568938,M
19,0.03348950933773325,0.25995533922909986,0.011209837219455296,0.32576189150544504,0.26457968991455966,R
20,0.23655059433893233,0.4555622390756299,0.20888579391663667,0.011440026016137255,0.19102654016964413,R
21,0.37638749551787326,0.06116792160578528,0.3173160430750013,0.28560419465064163,0.21914083249042252,R
22,0.08673865010471743,0.15851847753444487,0.09418929406144236,0.44433730896014184,0.4413998990395386,R
23,0.48667955949071856,0.46318939960769595,0.543809568867022,0.3735507867659455,0.5580335660668155,R
24,0.790124663634802,0.9899703136083697,0.9706787317204788,0.8268568271818708,0.7410286782636109,M
25,0.5106870679772955,0.832014227527184,0.9465009354225309,0.6963059939661428,0.6549516067549384,M
26,0.7292538087168434,0.5771105799455377,0.7179919805235153,0.8875416940813383,0.522379180397161,M
27,0.44549104517742816,0.5777797539422911,0.6436043941906596,0.7822593538114002,0.519096184127305,M
28,0.15768066087940924,0.22981089083520567,0.02429353527311735,0.3912346208962554,0.4460015504222095,R
